Line Item,Category,Highlight,Callout Label
Advertising,Advertising & Marketing,N,
Advertising - Ink,Advertising & Marketing,N,
Ambassador & Influencer Expenses,Advertising & Marketing,N,
MKG - Bags,Advertising & Marketing,N,
"MKG - Banners, P.O.P & Misc.",Advertising & Marketing,N,
MKG - Catalogs,Advertising & Marketing,N,
MKG - Direct Mail,Advertising & Marketing,N,
MKG - Hang Tags & Size Tags,Advertising & Marketing,N,
MKG - Photography,Advertising & Marketing,Y,Photography
MKG - Stickers,Advertising & Marketing,N,
MKG - Tent Sale Expenses,Advertising & Marketing,N,
MKG - Trade Show Expense,Advertising & Marketing,N,
MKG - Video,Advertising & Marketing,N,
Website Expenses,Advertising & Marketing,N,
Ink Merch Store Profit Share,Advertising & Marketing,N,
Permits & Building - 176 E Bay,Facilities & Permits,N,
Permits & Building - 700 S Main St,Facilities & Permits,N,
Permits & Building - Flagship Store,Facilities & Permits,N,
Permits & Building - Jetty Ink,Facilities & Permits,N,
Permits & Building - Long Branch,Facilities & Permits,N,
Selling Expenses - Rep Supplies,"Selling, Travel & Team",N,
Selling Expenses - Rep Travel,"Selling, Travel & Team",N,
Team Building,"Selling, Travel & Team",N,
Box Truck,"Equipment, Fleet & Warehouse",N,
Equipment & Repairs,"Equipment, Fleet & Warehouse",N,
Ford Transit - Ink Van Expenses,"Equipment, Fleet & Warehouse",N,
Miscellaneous Warehouse Expenses,"Equipment, Fleet & Warehouse",N,
Screen Printing Supplies,"Equipment, Fleet & Warehouse",N,
Shipping Supplies,"Equipment, Fleet & Warehouse",N,
Dues & Subscriptions,"Software, Admin & Payroll",N,
Office Expense - Office Supplies,"Software, Admin & Payroll",N,
Payroll Service,"Software, Admin & Payroll",N,
Software & Inventory Control,"Software, Admin & Payroll",N,
